"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Julian Howsare",3000,"NYJ@Buf 08:25PM ET",0.000,"NYJ"
"DST","Bears ",2900,"Phi@Chi 08:30PM ET",4.000,"Chi"
"DST","Steelers ",2900,"Cin@Pit 01:00PM ET",5.000,"Pit"
"TE","Jacob Tamme",2900,"Atl@Oak 04:25PM ET",11.100,"Atl"
"TE","Lance Kendricks",2900,"Sea@LA 04:05PM ET",3.500,"LA"
"TE","Larry Donnell",2900,"NO@NYG 01:00PM ET",8.500,"NYG"
"TE","Will Tye",2900,"NO@NYG 01:00PM ET",4.600,"NYG"
"TE","Clive Walford",2900,"Atl@Oak 04:25PM ET",5.500,"Oak"
"TE","Austin Seferian-Jenkins",2900,"TB@Ari 04:05PM ET",10.000,"TB"
"DST","Bengals ",2800,"Cin@Pit 01:00PM ET",5.000,"Cin"
"DST","Lions ",2800,"Ten@Det 01:00PM ET",0.000,"Det"
"DST","Redskins ",2800,"Dal@Was 01:00PM ET",-1.000,"Was"
"TE","Dennis Pitta",2800,"Bal@Cle 01:00PM ET",6.900,"Bal"
"TE","Virgil Green",2800,"Ind@Den 04:25PM ET",6.800,"Den"
"TE","Jordan Cameron",2800,"Mia@NE 01:00PM ET",2.600,"Mia"
"TE","Richard Rodgers",2800,"GB@Min 08:30PM ET",3.200,"GB"
"DST","Colts ",2700,"Ind@Den 04:25PM ET",-3.000,"Ind"
"DST","Raiders ",2700,"Atl@Oak 04:25PM ET",2.000,"Oak"
"TE","Luke Willson",2700,"Sea@LA 04:05PM ET",4.600,"Sea"
"DST","Giants ",2600,"NO@NYG 01:00PM ET",1.000,"NYG"
"TE","Marcedes Lewis",2600,"Jax@SD 04:25PM ET",6.800,"Jax"
"TE","Vernon Davis",2600,"Dal@Was 01:00PM ET",3.000,"Was"
"TE","Brent Celek",2600,"Phi@Chi 08:30PM ET",2.100,"Phi"
"TE","Darren Fells",2600,"TB@Ari 04:05PM ET",0.000,"Ari"
"TE","Garrett Celek",2600,"SF@Car 01:00PM ET",2.500,"SF"
"TE","Mychal Rivera",2600,"Atl@Oak 04:25PM ET",0,"Oak"
"TE","Gavin Escobar",2600,"Dal@Was 01:00PM ET",0.000,"Dal"
"TE","Cameron Brate",2600,"TB@Ari 04:05PM ET",6.000,"TB"
"TE","C.J. Uzomah",2600,"Cin@Pit 01:00PM ET",7.900,"Cin"
"DST","Browns ",2500,"Bal@Cle 01:00PM ET",2.000,"Cle"
"DST","Dolphins ",2500,"Mia@NE 01:00PM ET",13.000,"Mia"
"DST","Chargers ",2500,"Jax@SD 04:25PM ET",4.000,"SD"
"TE","Clark Harris",2500,"Cin@Pit 01:00PM ET",0.000,"Cin"
"TE","Anthony Fasano",2500,"Ten@Det 01:00PM ET",0.000,"Ten"
"TE","Kellen Davis",2500,"NYJ@Buf 08:25PM ET",0.000,"NYJ"
"TE","Brandon Myers",2500,"TB@Ari 04:05PM ET",7.400,"TB"
"TE","David Johnson",2500,"Cin@Pit 01:00PM ET",0.000,"Pit"
"TE","Clay Harbor",2500,"Mia@NE 01:00PM ET",0,"NE"
"TE","Ed Dickson",2500,"SF@Car 01:00PM ET",0.000,"Car"
"TE","Logan Paulsen",2500,"Phi@Chi 08:30PM ET",0.000,"Chi"
"TE","Andrew DePaola",2500,"TB@Ari 04:05PM ET",0.000,"TB"
"TE","Jim Dray",2500,"NYJ@Buf 08:25PM ET",0.000,"Buf"
"TE","John Phillips",2500,"Ind@Den 04:25PM ET",0.000,"Den"
"TE","Kyle Nelson",2500,"SF@Car 01:00PM ET",0.000,"SF"
"TE","Jermaine Gresham",2500,"TB@Ari 04:05PM ET",8.100,"Ari"
"TE","Lee Smith",2500,"Atl@Oak 04:25PM ET",0.000,"Oak"
